gem_rxn_id,gem_rxn,gem_bigg,gem_rxn_name
GLCRAL,5dh4dglc_c --> 2h3oppan_c + pyr_c,GLCRAL,5-dehydro-4-deoxyglucarate aldolase
NTD4,cmp_c + h2o_c --> cytd_c + pi_c,NTD4,5'-nucleotidase (CMP)
NTD5,dtmp_c + h2o_c --> pi_c + thymd_c,NTD5,5'-nucleotidase (dTMP)
EX_fmn_e,fmn_e --> ,EX_fmn_e,FMN exchange
EX_gthox_e,gthox_e --> ,EX_gthox_e,Oxidized glutathione exchange
KAS14,acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c,KAS14,Beta-ketoacyl-ACP synthase
HEMEOS,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c,HEMEOS,Heme O synthase
ADMDC,amet_c + h_c --> ametam_c + co2_c,ADMDC,Adenosylmethionine decarboxylase
AGMT,agm_c + h2o_c --> ptrc_c + urea_c,AGMT,Agmatinase
NTD6,damp_c + h2o_c --> dad_2_c + pi_c,NTD6,5'-nucleotidase (dAMP)
LGTHL,gthrd_c + mthgxl_c --> lgt__S_c,LGTHL,Lactoylglutathione lyase
PYDXPP,h2o_c + pydx5p_c --> pi_c + pydx_c,PYDXPP,Pyridoxal 5-phosphate phosphatase
PDXPP,h2o_c + pdx5p_c --> pi_c + pydxn_c,PDXPP,Pyridoxine 5-phosphate phosphatase
ARGDC,arg__L_c + h_c --> agm_c + co2_c,ARGDC,Arginine decarboxylase
HACD6,3otdcoa_c + h_c + nadh_c <=> 3htdcoa_c + nad_c,HACD6,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)
ECOAH1,3hbcoa_c <=> b2coa_c + h2o_c,ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)
ECOAH2,3hhcoa_c <=> h2o_c + hx2coa_c,ECOAH2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)
ARGSS,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,ARGSS,Argininosuccinate synthase
AGPR,acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,AGPR,N-acetyl-g-glutamyl-phosphate reductase
SPMS,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c,SPMS,Spermidine synthase
G1SAT,glu1sa_c <=> 5aop_c,G1SAT,Glutamate-1-semialdehyde aminotransferase
KDOCT2,ctp_c + kdo_c --> ckdo_c + ppi_c,KDOCT2,3-deoxy-manno-octulosonate cytidylyltransferase
ECOAH3,3hocoa_c <=> h2o_c + oc2coa_c,ECOAH3,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)
UGLT,gal1p_c + udpg_c <=> g1p_c + udpgal_c,UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase
EDTXS1,ddcaACP_c + kdo2lipid4_c --> ACP_c + kdo2lipid4L_c,EDTXS1,Endotoxin Synthesis (lauroyl transferase)
DXPS,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,DXPS,1-deoxy-D-xylulose 5-phosphate synthase
OAADC,h_c + oaa_c --> co2_c + pyr_c,OAADC,Oxaloacetate decarboxylase
MNNH,mana_c --> 2ddglcn_c + h2o_c,MNNH,D-mannonate hydrolyase
CDPMEK,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
EDTXS2,kdo2lipid4L_c + myrsACP_c --> ACP_c + lipa_c,EDTXS2,Endotoxin Synthesis (myristoyl transferase)
ALTRH,altrn_c --> 2ddglcn_c + h2o_c,ALTRH,Altronate hydrolase
