Reaction,Substrate partner,Direction,SMILES,BiGG Name,DB Name,Cleaned Substrate
NTPP8,utp_c,forward,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1,UTP C9H11N2O15P3,UTP,utp
P5CR,1pyr5c_c,forward,,1-Pyrroline-5-carboxylate,,1pyr5c
P5CR,h_c,forward,[H+],H+,H(+),h
P5CR,nadph_c,forward,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide phosphate - reduced,NADPH,nadph
CYANST,cyan_c,forward,C#N,Hydrogen cyanide,Hydrogen cyanide,cyan
CYANST,tsul_c,forward,O=S(=O)([O-])S,Thiosulfate,H2S2O3,tsul
DHPPDA2,25drapp_c,forward,,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",,25drapp
DHPPDA2,h2o_c,forward,O,H2O H2O,,h2o
DHPPDA2,h_c,forward,[H+],H+,H(+),h
G5SADs,glu5sa_c,forward,[NH3+][C@@H](CCC=O)C(=O)[O-],L-Glutamate 5-semialdehyde,L-Glutamate5-semialdehyde,glu5sa
GMAND,gdpmann_c,forward,Nc1nc2c(ncn2C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,GDP-D-mannose,GDP-mannose,gdpmann
PPCSCT,ppcoa_c,forward,,Propanoyl-CoA,,ppcoa
PPCSCT,succ_c,forward,O=C([O-])CCC(=O)[O-],Succinate,succinate,succ
CYTD,cytd_c,forward,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,Cytidine,Cytidine,cytd
CYTD,h2o_c,forward,O,H2O H2O,,h2o
CYTD,h_c,forward,[H+],H+,H(+),h
DCYTD,dcyt_c,forward,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,Deoxycytidine,2'-deoxycytidine,dcyt
DCYTD,h2o_c,forward,O,H2O H2O,,h2o
DCYTD,h_c,forward,[H+],H+,H(+),h
DBTS,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
DBTS,co2_c,forward,O=C=O,CO2 CO2,CO2,co2
DBTS,dann_c,forward,C[C@H]([NH3+])[C@H]([NH3+])CCCCCC(=O)[O-],"7,8-Diaminononanoate","(7R,8S)-7,8-diammoniononanoate",dann
DCTPD,dctp_c,forward,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1,DCTP C9H12N3O13P3,dCTP,dctp
DCTPD,h2o_c,forward,O,H2O H2O,,h2o
DCTPD,h_c,forward,[H+],H+,H(+),h
DHDPS,aspsa_c,forward,[NH3+][C@@H](CC=O)C(=O)[O-],L-Aspartate 4-semialdehyde,L-aspartate 4-semialdehyde,aspsa
DHDPS,pyr_c,forward,CC(=O)C(=O)[O-],Pyruvate,pyruvate,pyr
G1PACT,accoa_c,forward,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],Acetyl-CoA,Acetyl-CoA,accoa
G1PACT,gam1p_c,forward,[NH3+][C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO)[C@@H](O)[C@@H]1O,D-Glucosamine 1-phosphate,D-Glucosamine1-phosphate,gam1p
GART,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
GART,for_c,forward,O=C[O-],Formate,formate,for
GART,gar_c,forward,[NH3+]CC(=O)N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,N1-(5-Phospho-D-ribosyl)glycinamide,GAR,gar
CSND,csn_c,forward,Nc1cc[nH]c(=O)n1,Cytosine,cytosine,csn
CSND,h2o_c,forward,O,H2O H2O,,h2o
CSND,h_c,forward,[H+],H+,H(+),h
GF6PTA,f6p_c,forward,O=P([O-])([O-])OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,D-Fructose 6-phosphate,beta-D-Fructose 6-phosphate,f6p
GF6PTA,gln__L_c,forward,NC(=O)CC[C@H]([NH3+])C(=O)[O-],L-Glutamine,L-glutamine,gln  L
H2SO,h2s_c,forward,[SH-],Hydrogen sulfide,S2-,h2s
H2SO,o2_c,forward,O=O,O2 O2,O2,o2
GLUCYS,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
GLUCYS,cys__L_c,forward,[NH3+]C(CS)C(=O)[O-],L-Cysteine,Cysteine,cys  L
GLUCYS,glu__L_c,forward,[NH3+]C(CCC(=O)[O-])C(=O)[O-],L-Glutamate,Glutamates,glu  L
GLUN,gln__L_c,forward,NC(=O)CC[C@H]([NH3+])C(=O)[O-],L-Glutamine,L-glutamine,gln  L
GLUN,h2o_c,forward,O,H2O H2O,,h2o
GLUPRT,gln__L_c,forward,NC(=O)CC[C@H]([NH3+])C(=O)[O-],L-Glutamine,L-glutamine,gln  L
GLUPRT,h2o_c,forward,O,H2O H2O,,h2o
GLUPRT,prpp_c,forward,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O,5-Phospho-alpha-D-ribose 1-diphosphate,PRPP,prpp
GMPR,gmp_c,forward,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,GMP C10H12N5O8P,GMP,gmp
GMPR,h_c,forward,[H+],H+,H(+),h
GMPR,nadph_c,forward,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide phosphate - reduced,NADPH,nadph
NADS1,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
NADS1,dnad_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(=O)[O-])c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,Deamino-NAD+,Deamido-NAD,dnad
NADS1,nh4_c,forward,[NH4+],Ammonium,NH4+,nh4
NTRIR2x,h_c,forward,[H+],H+,H(+),h
NTRIR2x,nadh_c,forward,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Nicotinamide adenine dinucleotide - reduced,NADH,nadh
NTRIR2x,no2_c,forward,O=N[O-],Nitrite,nitrite,no2
OCBT,cbp_c,forward,NC(=O)OP(=O)([O-])[O-],Carbamoyl phosphate,carbamoyl phosphate,cbp
OCBT,orn_c,forward,[NH3+]CCCC([NH3+])C(=O)[O-],Ornithine,Ornithine,orn
OCBT,citr__L_c,reverse,NC(=O)NCCC[C@H]([NH3+])C(=O)[O-],L-Citrulline,Citrulline,citr  L
OCBT,h_c,reverse,[H+],H+,H(+),h
OCBT,pi_c,reverse,O=P([O-])([O-])O,Phosphate,phosphate,pi
GARFT,10fthf_c,forward,Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2,10-Formyltetrahydrofolate,10-Formyltetrahydrofolate,10fthf
